record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Test_voltage,7,9,V,7.843441,0.440822,PASS,PASS,0,D8CB092E-986C-4B7A-AC24-0D182AE5BDF4,DEDKC12FBSAF0106,2023-06-23 18:43:01,2023-06-23 18:43:24,9999,monolith_solar_panel_left_ft,10023161
2,Test_first_temp_1,23,30,C,26.4,0.000000,PASS,PASS,0,D8CB092E-986C-4B7A-AC24-0D182AE5BDF4,DEDKC12FBSAF0106,2023-06-23 18:43:01,2023-06-23 18:43:24,9999,monolith_solar_panel_left_ft,10023161
3,Test_first_temp_2,23,30,C,25.6,0.000000,PASS,PASS,0,D8CB092E-986C-4B7A-AC24-0D182AE5BDF4,DEDKC12FBSAF0106,2023-06-23 18:43:01,2023-06-23 18:43:24,9999,monolith_solar_panel_left_ft,10023161
4,Test_Current,0.1,0.15,A,0.117849,4.292995,PASS,PASS,0,D8CB092E-986C-4B7A-AC24-0D182AE5BDF4,DEDKC12FBSAF0106,2023-06-23 18:43:01,2023-06-23 18:43:24,9999,monolith_solar_panel_left_ft,10023161
5,Test__Count_Power,0.9,1.2,W,0.924342,0.000000,PASS,PASS,0,D8CB092E-986C-4B7A-AC24-0D182AE5BDF4,DEDKC12FBSAF0106,2023-06-23 18:43:01,2023-06-23 18:43:24,9999,monolith_solar_panel_left_ft,10023161
6,Test_second_temp_1,23,30,C,26.4,0.000000,PASS,PASS,0,D8CB092E-986C-4B7A-AC24-0D182AE5BDF4,DEDKC12FBSAF0106,2023-06-23 18:43:01,2023-06-23 18:43:24,9999,monolith_solar_panel_left_ft,10023161
7,Test_second_temp_2,23,30,C,25.6,0.000000,PASS,PASS,0,D8CB092E-986C-4B7A-AC24-0D182AE5BDF4,DEDKC12FBSAF0106,2023-06-23 18:43:01,2023-06-23 18:43:24,9999,monolith_solar_panel_left_ft,10023161
8,Read_MES_Flat_TEMP1,23,30,C,27.1,0.000000,PASS,PASS,0,D8CB092E-986C-4B7A-AC24-0D182AE5BDF4,DEDKC12FBSAF0106,2023-06-23 18:43:01,2023-06-23 18:43:24,9999,monolith_solar_panel_left_ft,10023161
9,Read_MES_Flat_TEMP2,23,30,C,25.6,0.000000,PASS,PASS,0,D8CB092E-986C-4B7A-AC24-0D182AE5BDF4,DEDKC12FBSAF0106,2023-06-23 18:43:01,2023-06-23 18:43:24,9999,monolith_solar_panel_left_ft,10023161
10,Read_MES_Flat_Voltage,7.5,9,V,7.827804,0.000000,PASS,PASS,0,D8CB092E-986C-4B7A-AC24-0D182AE5BDF4,DEDKC12FBSAF0106,2023-06-23 18:43:01,2023-06-23 18:43:24,9999,monolith_solar_panel_left_ft,10023161
11,Read_MES_Flat_Current,0.12,0.15,A,0.120570,0.000000,PASS,PASS,0,D8CB092E-986C-4B7A-AC24-0D182AE5BDF4,DEDKC12FBSAF0106,2023-06-23 18:43:01,2023-06-23 18:43:24,9999,monolith_solar_panel_left_ft,10023161
12,Power_difference,0,0.05,W,0.019457,0.000000,PASS,PASS,0,D8CB092E-986C-4B7A-AC24-0D182AE5BDF4,DEDKC12FBSAF0106,2023-06-23 18:43:01,2023-06-23 18:43:24,9999,monolith_solar_panel_left_ft,10023161
13,Power_percentage_drop,0,0.05,,0.021049,0.000000,PASS,PASS,0,D8CB092E-986C-4B7A-AC24-0D182AE5BDF4,DEDKC12FBSAF0106,2023-06-23 18:43:01,2023-06-23 18:43:24,9999,monolith_solar_panel_left_ft,10023161
