record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.004012,PASS,PASS,0,E59D1422-F7EE-4E9B-94F1-57A5C971FCBC,FK2323MCAM2AA0180,2023-06-16 12:58:56,2023-06-16 13:02:24,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.214253,PASS,PASS,0,E59D1422-F7EE-4E9B-94F1-57A5C971FCBC,FK2323MCAM2AA0180,2023-06-16 12:58:56,2023-06-16 13:02:24,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.884500,PASS,PASS,0,E59D1422-F7EE-4E9B-94F1-57A5C971FCBC,FK2323MCAM2AA0180,2023-06-16 12:58:56,2023-06-16 13:02:24,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.934471,PASS,PASS,0,E59D1422-F7EE-4E9B-94F1-57A5C971FCBC,FK2323MCAM2AA0180,2023-06-16 12:58:56,2023-06-16 13:02:24,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.087375,PASS,PASS,0,E59D1422-F7EE-4E9B-94F1-57A5C971FCBC,FK2323MCAM2AA0180,2023-06-16 12:58:56,2023-06-16 13:02:24,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.564,0.000000,PASS,PASS,0,E59D1422-F7EE-4E9B-94F1-57A5C971FCBC,FK2323MCAM2AA0180,2023-06-16 12:58:56,2023-06-16 13:02:24,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,E59D1422-F7EE-4E9B-94F1-57A5C971FCBC,FK2323MCAM2AA0180,2023-06-16 12:58:56,2023-06-16 13:02:24,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.082387,PASS,PASS,0,E59D1422-F7EE-4E9B-94F1-57A5C971FCBC,FK2323MCAM2AA0180,2023-06-16 12:58:56,2023-06-16 13:02:24,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,27.000,1.119359,PASS,PASS,0,E59D1422-F7EE-4E9B-94F1-57A5C971FCBC,FK2323MCAM2AA0180,2023-06-16 12:58:56,2023-06-16 13:02:24,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,94.200000,0.694699,PASS,PASS,0,E59D1422-F7EE-4E9B-94F1-57A5C971FCBC,FK2323MCAM2AA0180,2023-06-16 12:58:56,2023-06-16 13:02:24,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.001009,PASS,PASS,0,E59D1422-F7EE-4E9B-94F1-57A5C971FCBC,FK2323MCAM2AA0180,2023-06-16 12:58:56,2023-06-16 13:02:24,STQ236YM4103,monolith_cassette_ft,10023023
