record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Test_voltage,7,9,V,7.809190,0.440079,PASS,PASS,0,8F9B30EA-09AA-4BBA-A638-7804E4880803,DEDKC12FBSAF0514,2023-06-26 19:01:03,2023-06-26 19:01:24,9999,monolith_solar_panel_left_ft,10023161
2,Test_first_temp_1,23,30,C,26.7,0.000000,PASS,PASS,0,8F9B30EA-09AA-4BBA-A638-7804E4880803,DEDKC12FBSAF0514,2023-06-26 19:01:03,2023-06-26 19:01:24,9999,monolith_solar_panel_left_ft,10023161
3,Test_first_temp_2,23,30,C,26.7,0.000000,PASS,PASS,0,8F9B30EA-09AA-4BBA-A638-7804E4880803,DEDKC12FBSAF0514,2023-06-26 19:01:03,2023-06-26 19:01:24,9999,monolith_solar_panel_left_ft,10023161
4,Test_Current,0.1,0.15,A,0.120783,4.392246,PASS,PASS,0,8F9B30EA-09AA-4BBA-A638-7804E4880803,DEDKC12FBSAF0514,2023-06-26 19:01:03,2023-06-26 19:01:24,9999,monolith_solar_panel_left_ft,10023161
5,Test__Count_Power,0.9,1.2,W,0.943215,0.000000,PASS,PASS,0,8F9B30EA-09AA-4BBA-A638-7804E4880803,DEDKC12FBSAF0514,2023-06-26 19:01:03,2023-06-26 19:01:24,9999,monolith_solar_panel_left_ft,10023161
6,Test_second_temp_1,23,30,C,26.7,0.000000,PASS,PASS,0,8F9B30EA-09AA-4BBA-A638-7804E4880803,DEDKC12FBSAF0514,2023-06-26 19:01:03,2023-06-26 19:01:24,9999,monolith_solar_panel_left_ft,10023161
7,Test_second_temp_2,23,30,C,26.7,0.000000,PASS,PASS,0,8F9B30EA-09AA-4BBA-A638-7804E4880803,DEDKC12FBSAF0514,2023-06-26 19:01:03,2023-06-26 19:01:24,9999,monolith_solar_panel_left_ft,10023161
8,Read_MES_Flat_TEMP1,23,30,C,27.2,0.000000,PASS,PASS,0,8F9B30EA-09AA-4BBA-A638-7804E4880803,DEDKC12FBSAF0514,2023-06-26 19:01:03,2023-06-26 19:01:24,9999,monolith_solar_panel_left_ft,10023161
9,Read_MES_Flat_TEMP2,23,30,C,27.2,0.000000,PASS,PASS,0,8F9B30EA-09AA-4BBA-A638-7804E4880803,DEDKC12FBSAF0514,2023-06-26 19:01:03,2023-06-26 19:01:24,9999,monolith_solar_panel_left_ft,10023161
10,Read_MES_Flat_Voltage,7.5,9,V,7.870558,0.000000,PASS,PASS,0,8F9B30EA-09AA-4BBA-A638-7804E4880803,DEDKC12FBSAF0514,2023-06-26 19:01:03,2023-06-26 19:01:24,9999,monolith_solar_panel_left_ft,10023161
11,Read_MES_Flat_Current,0.1,0.15,A,0.124295,0.000000,PASS,PASS,0,8F9B30EA-09AA-4BBA-A638-7804E4880803,DEDKC12FBSAF0514,2023-06-26 19:01:03,2023-06-26 19:01:24,9999,monolith_solar_panel_left_ft,10023161
12,Power_difference,0,0.05,W,0.035056,0.000000,PASS,PASS,0,8F9B30EA-09AA-4BBA-A638-7804E4880803,DEDKC12FBSAF0514,2023-06-26 19:01:03,2023-06-26 19:01:24,9999,monolith_solar_panel_left_ft,10023161
13,Power_percentage_drop,0,0.05,,0.037166,0.000000,PASS,PASS,0,8F9B30EA-09AA-4BBA-A638-7804E4880803,DEDKC12FBSAF0514,2023-06-26 19:01:03,2023-06-26 19:01:24,9999,monolith_solar_panel_left_ft,10023161
