record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.005986,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.221287,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.896482,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.940431,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.092352,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.571,0.000000,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.099357,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,27.000,1.123342,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,94.300000,0.693680,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000035,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,2.999807,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-19.166992,3.072289,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.061832,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
15,LTE_23010_Power,-48,-22,dBm,-31.742020,3.064286,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
16,LTE_23010_Frequency,0.6985,0.6995,GHz,0.699050,3.068424,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
17,LTE_23179_Power,-32,-12,dBm,-26.968227,3.066682,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
18,LTE_23179_Frequency,0.7155,0.7165,GHz,0.716000,3.065300,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
19,factory_mode_off,PASS,PASS,,PASS,2.999943,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
20,modem_enable_status,PASS,PASS,,PASS,0.886494,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
21,NFC_IN_Status,PASS,PASS,,PASS,0.112050,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
22,Triangle_NFC_Run_Test,PASS,PASS,,PASS,1.081383,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
23,NFC_Detect_Measurement,PASS,PASS,,PASS,1.084371,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
24,Set_modem_on,PASS,PASS,,PASS,1.083382,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
25,Check_network_connected,PASS,PASS,,PASS,1.095360,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
26,IMEI,1.00E+14,1.00E+15,,869965065816682,0.897460,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
27,ICCID,1.00E+19,1.00E+20,,89430301722230455741,0.891494,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
28,opmode_clear_forced_state,PASS,PASS,,PASS,1.096359,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
29,Enter_Shipmode,PASS,PASS,,PASS,1.090366,PASS,PASS,0,6FF99EFC-2FAC-4DC7-86CE-01C91D4BBF6D,FK2323MCAM2AA0206,2023-06-17 15:54:25,2023-06-17 15:57:52,STQ236YM4103,monolith_cassette_ft,10023023
