record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Test_voltage,7,9,V,7.857389,0.443813,PASS,PASS,0,4DF94565-37EF-488C-A233-1BDA706A293E,DEDKC12FBSAF0182,2023-06-24 11:03:13,2023-06-24 11:03:36,YYYY,monolith_solar_panel_right_ft,10023161
2,Test_first_temp_1,23,30,C,26.5,0.000000,PASS,PASS,0,4DF94565-37EF-488C-A233-1BDA706A293E,DEDKC12FBSAF0182,2023-06-24 11:03:13,2023-06-24 11:03:36,YYYY,monolith_solar_panel_right_ft,10023161
3,Test_first_temp_2,23,30,C,25.8,0.000000,PASS,PASS,0,4DF94565-37EF-488C-A233-1BDA706A293E,DEDKC12FBSAF0182,2023-06-24 11:03:13,2023-06-24 11:03:36,YYYY,monolith_solar_panel_right_ft,10023161
4,Test_Current,0.1,0.15,A,0.118598,4.466238,PASS,PASS,0,4DF94565-37EF-488C-A233-1BDA706A293E,DEDKC12FBSAF0182,2023-06-24 11:03:13,2023-06-24 11:03:36,YYYY,monolith_solar_panel_right_ft,10023161
5,Test__Count_Power,0.9,1.2,W,0.931871,0.000000,PASS,PASS,0,4DF94565-37EF-488C-A233-1BDA706A293E,DEDKC12FBSAF0182,2023-06-24 11:03:13,2023-06-24 11:03:36,YYYY,monolith_solar_panel_right_ft,10023161
6,Test_second_temp_1,23,30,C,26.5,0.000000,PASS,PASS,0,4DF94565-37EF-488C-A233-1BDA706A293E,DEDKC12FBSAF0182,2023-06-24 11:03:13,2023-06-24 11:03:36,YYYY,monolith_solar_panel_right_ft,10023161
7,Test_second_temp_2,23,30,C,25.8,0.000000,PASS,PASS,0,4DF94565-37EF-488C-A233-1BDA706A293E,DEDKC12FBSAF0182,2023-06-24 11:03:13,2023-06-24 11:03:36,YYYY,monolith_solar_panel_right_ft,10023161
8,Read_MES_Flat_TEMP1,23,30,C,25.7,0.000000,PASS,PASS,0,4DF94565-37EF-488C-A233-1BDA706A293E,DEDKC12FBSAF0182,2023-06-24 11:03:13,2023-06-24 11:03:36,YYYY,monolith_solar_panel_right_ft,10023161
9,Read_MES_Flat_TEMP2,23,30,C,24.7,0.000000,PASS,PASS,0,4DF94565-37EF-488C-A233-1BDA706A293E,DEDKC12FBSAF0182,2023-06-24 11:03:13,2023-06-24 11:03:36,YYYY,monolith_solar_panel_right_ft,10023161
10,Read_MES_Flat_Voltage,7.5,9,V,7.855741,0.000000,PASS,PASS,0,4DF94565-37EF-488C-A233-1BDA706A293E,DEDKC12FBSAF0182,2023-06-24 11:03:13,2023-06-24 11:03:36,YYYY,monolith_solar_panel_right_ft,10023161
11,Read_MES_Flat_Current,0.1,0.15,A,0.123461,0.000000,PASS,PASS,0,4DF94565-37EF-488C-A233-1BDA706A293E,DEDKC12FBSAF0182,2023-06-24 11:03:13,2023-06-24 11:03:36,YYYY,monolith_solar_panel_right_ft,10023161
12,Power_difference,0,0.05,W,0.038006,0.000000,PASS,PASS,0,4DF94565-37EF-488C-A233-1BDA706A293E,DEDKC12FBSAF0182,2023-06-24 11:03:13,2023-06-24 11:03:36,YYYY,monolith_solar_panel_right_ft,10023161
13,Power_percentage_drop,0,0.05,,0.040785,0.000000,PASS,PASS,0,4DF94565-37EF-488C-A233-1BDA706A293E,DEDKC12FBSAF0182,2023-06-24 11:03:13,2023-06-24 11:03:36,YYYY,monolith_solar_panel_right_ft,10023161
