record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Test_voltage,7.5,9,V,7.828472,0.455782,PASS,PASS,0,5C4568B2-EAC0-4450-9E11-E7530056012F,DEDKC12FBSAF0200,2023-06-23 20:59:00,2023-06-23 20:59:20,8888,monolith_solar_panel_flat_ft,10023161
2,Test_first_temp_1,23,30,C,29.0,0.000000,PASS,PASS,0,5C4568B2-EAC0-4450-9E11-E7530056012F,DEDKC12FBSAF0200,2023-06-23 20:59:00,2023-06-23 20:59:20,8888,monolith_solar_panel_flat_ft,10023161
3,Test_first_temp_2,23,30,C,27.8,0.000000,PASS,PASS,0,5C4568B2-EAC0-4450-9E11-E7530056012F,DEDKC12FBSAF0200,2023-06-23 20:59:00,2023-06-23 20:59:20,8888,monolith_solar_panel_flat_ft,10023161
4,Test_Current,0.1,0.15,A,0.121810,4.316461,PASS,PASS,0,5C4568B2-EAC0-4450-9E11-E7530056012F,DEDKC12FBSAF0200,2023-06-23 20:59:00,2023-06-23 20:59:20,8888,monolith_solar_panel_flat_ft,10023161
5,Test__Count_Power,0.9,1.2,W,0.953590,0.000000,PASS,PASS,0,5C4568B2-EAC0-4450-9E11-E7530056012F,DEDKC12FBSAF0200,2023-06-23 20:59:00,2023-06-23 20:59:20,8888,monolith_solar_panel_flat_ft,10023161
6,Test_second_temp_1,23,30,C,29.0,0.000000,PASS,PASS,0,5C4568B2-EAC0-4450-9E11-E7530056012F,DEDKC12FBSAF0200,2023-06-23 20:59:00,2023-06-23 20:59:20,8888,monolith_solar_panel_flat_ft,10023161
7,Test_second_temp_2,23,30,C,27.8,0.000000,PASS,PASS,0,5C4568B2-EAC0-4450-9E11-E7530056012F,DEDKC12FBSAF0200,2023-06-23 20:59:00,2023-06-23 20:59:20,8888,monolith_solar_panel_flat_ft,10023161
8,Read_MES_Flat_TEMP1,23,30,C,0,0.000000,PASS,PASS,0,5C4568B2-EAC0-4450-9E11-E7530056012F,DEDKC12FBSAF0200,2023-06-23 20:59:00,2023-06-23 20:59:20,8888,monolith_solar_panel_flat_ft,10023161
9,Read_MES_Flat_TEMP2,23,30,C,0,0.000000,PASS,PASS,0,5C4568B2-EAC0-4450-9E11-E7530056012F,DEDKC12FBSAF0200,2023-06-23 20:59:00,2023-06-23 20:59:20,8888,monolith_solar_panel_flat_ft,10023161
10,Read_MES_Flat_Voltage,7.5,9,V,0.000000,0.000000,PASS,PASS,0,5C4568B2-EAC0-4450-9E11-E7530056012F,DEDKC12FBSAF0200,2023-06-23 20:59:00,2023-06-23 20:59:20,8888,monolith_solar_panel_flat_ft,10023161
11,Read_MES_Flat_Current,0.1,0.15,A,0.000000,0.000000,PASS,PASS,0,5C4568B2-EAC0-4450-9E11-E7530056012F,DEDKC12FBSAF0200,2023-06-23 20:59:00,2023-06-23 20:59:20,8888,monolith_solar_panel_flat_ft,10023161
12,Power_difference,0,0.05,W,0,0.000000,PASS,PASS,0,5C4568B2-EAC0-4450-9E11-E7530056012F,DEDKC12FBSAF0200,2023-06-23 20:59:00,2023-06-23 20:59:20,8888,monolith_solar_panel_flat_ft,10023161
13,Power_percentage_drop,0,0.05,,0,0.000000,PASS,PASS,0,5C4568B2-EAC0-4450-9E11-E7530056012F,DEDKC12FBSAF0200,2023-06-23 20:59:00,2023-06-23 20:59:20,8888,monolith_solar_panel_flat_ft,10023161
