record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.712,9.195081,PASS,PASS,0,b94f6542-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0020,2023-06-07 15:36:38,2023-06-07 15:39:51,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,30.1363,0.0,PASS,PASS,0,b94f6542-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0020,2023-06-07 15:36:38,2023-06-07 15:39:51,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.254312,PASS,PASS,0,b94f6542-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0020,2023-06-07 15:36:38,2023-06-07 15:39:51,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.09443,PASS,PASS,0,b94f6542-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0020,2023-06-07 15:36:38,2023-06-07 15:39:51,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,2.283015,PASS,PASS,0,b94f6542-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0020,2023-06-07 15:36:38,2023-06-07 15:39:51,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.093765,PASS,PASS,0,b94f6542-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0020,2023-06-07 15:36:38,2023-06-07 15:39:51,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,2.182039,PASS,PASS,0,b94f6542-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0020,2023-06-07 15:36:38,2023-06-07 15:39:51,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.099887,PASS,PASS,0,b94f6542-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0020,2023-06-07 15:36:38,2023-06-07 15:39:51,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.850326,PASS,PASS,0,b94f6542-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0020,2023-06-07 15:36:38,2023-06-07 15:39:51,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.09894,PASS,PASS,0,b94f6542-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0020,2023-06-07 15:36:38,2023-06-07 15:39:51,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,2.971896,PASS,PASS,0,b94f6542-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0020,2023-06-07 15:36:38,2023-06-07 15:39:51,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.098766,PASS,PASS,0,b94f6542-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0020,2023-06-07 15:36:38,2023-06-07 15:39:51,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,2.920472,PASS,PASS,0,b94f6542-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0020,2023-06-07 15:36:38,2023-06-07 15:39:51,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.220787,PASS,PASS,0,b94f6542-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0020,2023-06-07 15:36:38,2023-06-07 15:39:51,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.099649,PASS,PASS,0,b94f6542-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0020,2023-06-07 15:36:38,2023-06-07 15:39:51,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.148871,PASS,PASS,0,b94f6542-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0020,2023-06-07 15:36:38,2023-06-07 15:39:51,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.196466,PASS,PASS,0,b94f6542-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0020,2023-06-07 15:36:38,2023-06-07 15:39:51,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.093401,PASS,PASS,0,b94f6542-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0020,2023-06-07 15:36:38,2023-06-07 15:39:51,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,274.458158,4.332816,PASS,PASS,0,b94f6542-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0020,2023-06-07 15:36:38,2023-06-07 15:39:51,STQ236YM3101,monolith_receiver_ft,10023006
