record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.004997,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.238237,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.903482,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.933454,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.091359,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.571,0.000000,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.083366,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,27.000,1.131330,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,92.100000,0.701046,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.001249,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,3.000028,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-20.217003,3.065906,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.025029,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
15,LTE_23010_Power,-48,-22,dBm,-24.780609,3.064126,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
16,LTE_23010_Frequency,0.6985,0.6995,GHz,0.699100,3.059393,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
17,LTE_23179_Power,-32,-12,dBm,-25.897060,3.063866,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
18,LTE_23179_Frequency,0.7155,0.7165,GHz,0.716000,3.055767,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
19,factory_mode_off,PASS,PASS,,PASS,3.000775,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
20,modem_enable_status,PASS,PASS,,PASS,0.897517,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
21,NFC_IN_Status,PASS,PASS,,PASS,0.110516,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
22,Triangle_NFC_Run_Test,PASS,PASS,,PASS,1.106418,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
23,NFC_Detect_Measurement,PASS,PASS,,PASS,1.099371,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
24,Set_modem_on,PASS,PASS,,PASS,1.104356,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
25,Check_network_connected,PASS,PASS,,PASS,1.108366,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
26,IMEI,1.00E+14,1.00E+15,,869965065813069,0.907504,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
27,ICCID,1.00E+19,1.00E+20,,89430301722235532783,0.894486,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
28,opmode_clear_forced_state,PASS,PASS,,PASS,1.081368,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
29,Enter_Shipmode,PASS,PASS,,PASS,1.089377,PASS,PASS,0,A3928C10-7FC8-420C-B260-2A7C73424BFF,FK2323MCAM2AA0178,2023-06-16 13:22:08,2023-06-16 13:25:37,STQ236YM4103,monolith_cassette_ft,10023023
