record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.004000,PASS,PASS,0,6E431687-1BDF-42E9-A770-9F598E38A52D,FK2323MCAM2AA0011,2023-06-21 18:11:48,2023-06-21 18:15:14,RTQ236YM4201,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.218287,PASS,PASS,0,6E431687-1BDF-42E9-A770-9F598E38A52D,FK2323MCAM2AA0011,2023-06-21 18:11:48,2023-06-21 18:15:14,RTQ236YM4201,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.955441,PASS,PASS,0,6E431687-1BDF-42E9-A770-9F598E38A52D,FK2323MCAM2AA0011,2023-06-21 18:11:48,2023-06-21 18:15:14,RTQ236YM4201,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.935465,PASS,PASS,0,6E431687-1BDF-42E9-A770-9F598E38A52D,FK2323MCAM2AA0011,2023-06-21 18:11:48,2023-06-21 18:15:14,RTQ236YM4201,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.091396,PASS,PASS,0,6E431687-1BDF-42E9-A770-9F598E38A52D,FK2323MCAM2AA0011,2023-06-21 18:11:48,2023-06-21 18:15:14,RTQ236YM4201,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.593,0.000000,PASS,PASS,0,6E431687-1BDF-42E9-A770-9F598E38A52D,FK2323MCAM2AA0011,2023-06-21 18:11:48,2023-06-21 18:15:14,RTQ236YM4201,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,6E431687-1BDF-42E9-A770-9F598E38A52D,FK2323MCAM2AA0011,2023-06-21 18:11:48,2023-06-21 18:15:14,RTQ236YM4201,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.108361,PASS,PASS,0,6E431687-1BDF-42E9-A770-9F598E38A52D,FK2323MCAM2AA0011,2023-06-21 18:11:48,2023-06-21 18:15:14,RTQ236YM4201,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,24.000,1.137351,PASS,PASS,0,6E431687-1BDF-42E9-A770-9F598E38A52D,FK2323MCAM2AA0011,2023-06-21 18:11:48,2023-06-21 18:15:14,RTQ236YM4201,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,94.000000,0.692656,PASS,PASS,0,6E431687-1BDF-42E9-A770-9F598E38A52D,FK2323MCAM2AA0011,2023-06-21 18:11:48,2023-06-21 18:15:14,RTQ236YM4201,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000649,PASS,PASS,0,6E431687-1BDF-42E9-A770-9F598E38A52D,FK2323MCAM2AA0011,2023-06-21 18:11:48,2023-06-21 18:15:14,RTQ236YM4201,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,2.999717,PASS,PASS,0,6E431687-1BDF-42E9-A770-9F598E38A52D,FK2323MCAM2AA0011,2023-06-21 18:11:48,2023-06-21 18:15:14,RTQ236YM4201,monolith_cassette_ft,10023023
