record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,opmode_force_dev_mode,PASS,PASS,,PASS,1.211057,PASS,PASS,0,ED9FC1AD-4403-488B-A469-C5411D232063,FK2327MFAT2AA0005,2023-07-03 09:11:17,2023-07-03 09:14:24,STA237YM5101,monolith_bollard_ft,10023020
2,Recovery_port_check,PASS,PASS,,PASS,1.076602,PASS,PASS,0,ED9FC1AD-4403-488B-A469-C5411D232063,FK2327MFAT2AA0005,2023-07-03 09:11:17,2023-07-03 09:14:24,STA237YM5101,monolith_bollard_ft,10023020
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.871519,PASS,PASS,0,ED9FC1AD-4403-488B-A469-C5411D232063,FK2327MFAT2AA0005,2023-07-03 09:11:17,2023-07-03 09:14:24,STA237YM5101,monolith_bollard_ft,10023020
4,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,0.921321,PASS,PASS,0,ED9FC1AD-4403-488B-A469-C5411D232063,FK2327MFAT2AA0005,2023-07-03 09:11:17,2023-07-03 09:14:24,STA237YM5101,monolith_bollard_ft,10023020
5,NonCharging_SKU_Hw_Version2,Solar,Solar,,Solar,0.915549,PASS,PASS,0,ED9FC1AD-4403-488B-A469-C5411D232063,FK2327MFAT2AA0005,2023-07-03 09:11:17,2023-07-03 09:14:24,STA237YM5101,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version3,Solar,Solar,,Solar,0.916274,PASS,PASS,0,ED9FC1AD-4403-488B-A469-C5411D232063,FK2327MFAT2AA0005,2023-07-03 09:11:17,2023-07-03 09:14:24,STA237YM5101,monolith_bollard_ft,10023020
7,BQ_charger_ON,PASS,PASS,,PASS,1.078917,PASS,PASS,0,ED9FC1AD-4403-488B-A469-C5411D232063,FK2327MFAT2AA0005,2023-07-03 09:11:17,2023-07-03 09:14:24,STA237YM5101,monolith_bollard_ft,10023020
8,TST_Battery2,PASS,PASS,,PASS,1.110752,PASS,PASS,0,ED9FC1AD-4403-488B-A469-C5411D232063,FK2327MFAT2AA0005,2023-07-03 09:11:17,2023-07-03 09:14:24,STA237YM5101,monolith_bollard_ft,10023020
9,TST_Battery2_V,2,4.2,V,3.588,0.000000,PASS,PASS,0,ED9FC1AD-4403-488B-A469-C5411D232063,FK2327MFAT2AA0005,2023-07-03 09:11:17,2023-07-03 09:14:24,STA237YM5101,monolith_bollard_ft,10023020
10,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,ED9FC1AD-4403-488B-A469-C5411D232063,FK2327MFAT2AA0005,2023-07-03 09:11:17,2023-07-03 09:14:24,STA237YM5101,monolith_bollard_ft,10023020
11,Status_1,1,1,,1,1.838959,PASS,PASS,0,ED9FC1AD-4403-488B-A469-C5411D232063,FK2327MFAT2AA0005,2023-07-03 09:11:17,2023-07-03 09:14:24,STA237YM5101,monolith_bollard_ft,10023020
12,BQ_charger_OFF,PASS,PASS,,PASS,1.065814,PASS,PASS,0,ED9FC1AD-4403-488B-A469-C5411D232063,FK2327MFAT2AA0005,2023-07-03 09:11:17,2023-07-03 09:14:24,STA237YM5101,monolith_bollard_ft,10023020
13,TST_Battery1,PASS,PASS,,PASS,1.107011,PASS,PASS,0,ED9FC1AD-4403-488B-A469-C5411D232063,FK2327MFAT2AA0005,2023-07-03 09:11:17,2023-07-03 09:14:24,STA237YM5101,monolith_bollard_ft,10023020
14,TST_Battery1_V,2,4.2,V,3.471,0.000000,PASS,PASS,0,ED9FC1AD-4403-488B-A469-C5411D232063,FK2327MFAT2AA0005,2023-07-03 09:11:17,2023-07-03 09:14:24,STA237YM5101,monolith_bollard_ft,10023020
15,TST_Battery1_C,-10000,200000,uA,000079.0,0.000000,PASS,PASS,0,ED9FC1AD-4403-488B-A469-C5411D232063,FK2327MFAT2AA0005,2023-07-03 09:11:17,2023-07-03 09:14:24,STA237YM5101,monolith_bollard_ft,10023020
16,Status_0,0,0,,0,1.082659,PASS,PASS,0,ED9FC1AD-4403-488B-A469-C5411D232063,FK2327MFAT2AA0005,2023-07-03 09:11:17,2023-07-03 09:14:24,STA237YM5101,monolith_bollard_ft,10023020
17,TST_Solar_L,PASS,PASS,,PASS,1.112555,PASS,PASS,0,ED9FC1AD-4403-488B-A469-C5411D232063,FK2327MFAT2AA0005,2023-07-03 09:11:17,2023-07-03 09:14:24,STA237YM5101,monolith_bollard_ft,10023020
