record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.005992,PASS,PASS,0,BFF64469-E7A3-48E2-BA1E-2293FDE06623,FK2323MCAM2AA0066,2023-06-19 19:13:11,2023-06-19 19:16:37,RTQ236YM4201,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.226263,PASS,PASS,0,BFF64469-E7A3-48E2-BA1E-2293FDE06623,FK2323MCAM2AA0066,2023-06-19 19:13:11,2023-06-19 19:16:37,RTQ236YM4201,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.903481,PASS,PASS,0,BFF64469-E7A3-48E2-BA1E-2293FDE06623,FK2323MCAM2AA0066,2023-06-19 19:13:11,2023-06-19 19:16:37,RTQ236YM4201,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.943446,PASS,PASS,0,BFF64469-E7A3-48E2-BA1E-2293FDE06623,FK2323MCAM2AA0066,2023-06-19 19:13:11,2023-06-19 19:16:37,RTQ236YM4201,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.102378,PASS,PASS,0,BFF64469-E7A3-48E2-BA1E-2293FDE06623,FK2323MCAM2AA0066,2023-06-19 19:13:11,2023-06-19 19:16:37,RTQ236YM4201,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.607,0.000000,PASS,PASS,0,BFF64469-E7A3-48E2-BA1E-2293FDE06623,FK2323MCAM2AA0066,2023-06-19 19:13:11,2023-06-19 19:16:37,RTQ236YM4201,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,BFF64469-E7A3-48E2-BA1E-2293FDE06623,FK2323MCAM2AA0066,2023-06-19 19:13:11,2023-06-19 19:16:37,RTQ236YM4201,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.096373,PASS,PASS,0,BFF64469-E7A3-48E2-BA1E-2293FDE06623,FK2323MCAM2AA0066,2023-06-19 19:13:11,2023-06-19 19:16:37,RTQ236YM4201,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,24.000,1.136350,PASS,PASS,0,BFF64469-E7A3-48E2-BA1E-2293FDE06623,FK2323MCAM2AA0066,2023-06-19 19:13:11,2023-06-19 19:16:37,RTQ236YM4201,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,94.000000,0.696401,PASS,PASS,0,BFF64469-E7A3-48E2-BA1E-2293FDE06623,FK2323MCAM2AA0066,2023-06-19 19:13:11,2023-06-19 19:16:37,RTQ236YM4201,monolith_cassette_ft,10023023
