record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.016110,PASS,PASS,0,52FBAAAB-69CE-4800-8EEE-B4B927175CEB,FK2316MMBP2AA0604,2023-05-06 18:27:08,2023-05-06 18:31:38,STT234MM01,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.24,PASS,PASS,0,52FBAAAB-69CE-4800-8EEE-B4B927175CEB,FK2316MMBP2AA0604,2023-05-06 18:27:08,2023-05-06 18:31:38,STT234MM01,monolith_main_bft,10023100
3,Load_Recovery_Image,PASS,PASS,,PASS,10.50,PASS,PASS,0,52FBAAAB-69CE-4800-8EEE-B4B927175CEB,FK2316MMBP2AA0604,2023-05-06 18:27:08,2023-05-06 18:31:38,STT234MM01,monolith_main_bft,10023100
4,Load_LFS_EXT_Asset,PASS,PASS,,PASS,17.61,PASS,PASS,0,52FBAAAB-69CE-4800-8EEE-B4B927175CEB,FK2316MMBP2AA0604,2023-05-06 18:27:08,2023-05-06 18:31:38,STT234MM01,monolith_main_bft,10023100
5,Flash_STLink,PASS,PASS,,PASS,8.74,PASS,PASS,0,52FBAAAB-69CE-4800-8EEE-B4B927175CEB,FK2316MMBP2AA0604,2023-05-06 18:27:08,2023-05-06 18:31:38,STT234MM01,monolith_main_bft,10023100
6,FW_Version,2023.15.105,2023.15.105,,2023.15.105,4.087544,PASS,PASS,0,52FBAAAB-69CE-4800-8EEE-B4B927175CEB,FK2316MMBP2AA0604,2023-05-06 18:27:08,2023-05-06 18:31:38,STT234MM01,monolith_main_bft,10023100
7,Hw_Version,Solar,Solar,,Solar,3.072651,PASS,PASS,0,52FBAAAB-69CE-4800-8EEE-B4B927175CEB,FK2316MMBP2AA0604,2023-05-06 18:27:08,2023-05-06 18:31:38,STT234MM01,monolith_main_bft,10023100
8,lte_modem_status,PASS,PASS,,PASS,12.076107,PASS,PASS,0,52FBAAAB-69CE-4800-8EEE-B4B927175CEB,FK2316MMBP2AA0604,2023-05-06 18:27:08,2023-05-06 18:31:38,STT234MM01,monolith_main_bft,10023100
9,temp_by_mcu_sensor_Vbatt,10,40,C,29.000,3.079844,PASS,PASS,0,52FBAAAB-69CE-4800-8EEE-B4B927175CEB,FK2316MMBP2AA0604,2023-05-06 18:27:08,2023-05-06 18:31:38,STT234MM01,monolith_main_bft,10023100
10,Power_Rail_Enable,PASS,PASS,,PASS,4.082007,PASS,PASS,0,52FBAAAB-69CE-4800-8EEE-B4B927175CEB,FK2316MMBP2AA0604,2023-05-06 18:27:08,2023-05-06 18:31:38,STT234MM01,monolith_main_bft,10023100
