record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.004003,PASS,PASS,0,8CD83D3C-36D6-41FB-87AA-77A0FA831971,FK2323MCAM2AA0040,2023-06-21 18:25:14,2023-06-21 18:28:43,RTQ236YM4201,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.225291,PASS,PASS,0,8CD83D3C-36D6-41FB-87AA-77A0FA831971,FK2323MCAM2AA0040,2023-06-21 18:25:14,2023-06-21 18:28:43,RTQ236YM4201,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.892502,PASS,PASS,0,8CD83D3C-36D6-41FB-87AA-77A0FA831971,FK2323MCAM2AA0040,2023-06-21 18:25:14,2023-06-21 18:28:43,RTQ236YM4201,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.940463,PASS,PASS,0,8CD83D3C-36D6-41FB-87AA-77A0FA831971,FK2323MCAM2AA0040,2023-06-21 18:25:14,2023-06-21 18:28:43,RTQ236YM4201,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.089386,PASS,PASS,0,8CD83D3C-36D6-41FB-87AA-77A0FA831971,FK2323MCAM2AA0040,2023-06-21 18:25:14,2023-06-21 18:28:43,RTQ236YM4201,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.579,0.000000,PASS,PASS,0,8CD83D3C-36D6-41FB-87AA-77A0FA831971,FK2323MCAM2AA0040,2023-06-21 18:25:14,2023-06-21 18:28:43,RTQ236YM4201,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,8CD83D3C-36D6-41FB-87AA-77A0FA831971,FK2323MCAM2AA0040,2023-06-21 18:25:14,2023-06-21 18:28:43,RTQ236YM4201,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.087370,PASS,PASS,0,8CD83D3C-36D6-41FB-87AA-77A0FA831971,FK2323MCAM2AA0040,2023-06-21 18:25:14,2023-06-21 18:28:43,RTQ236YM4201,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,25.000,1.122339,PASS,PASS,0,8CD83D3C-36D6-41FB-87AA-77A0FA831971,FK2323MCAM2AA0040,2023-06-21 18:25:14,2023-06-21 18:28:43,RTQ236YM4201,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,94.100000,0.695536,PASS,PASS,0,8CD83D3C-36D6-41FB-87AA-77A0FA831971,FK2323MCAM2AA0040,2023-06-21 18:25:14,2023-06-21 18:28:43,RTQ236YM4201,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000115,PASS,PASS,0,8CD83D3C-36D6-41FB-87AA-77A0FA831971,FK2323MCAM2AA0040,2023-06-21 18:25:14,2023-06-21 18:28:43,RTQ236YM4201,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,3.000179,PASS,PASS,0,8CD83D3C-36D6-41FB-87AA-77A0FA831971,FK2323MCAM2AA0040,2023-06-21 18:25:14,2023-06-21 18:28:43,RTQ236YM4201,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-16.874659,3.070103,PASS,PASS,0,8CD83D3C-36D6-41FB-87AA-77A0FA831971,FK2323MCAM2AA0040,2023-06-21 18:25:14,2023-06-21 18:28:43,RTQ236YM4201,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.066524,PASS,PASS,0,8CD83D3C-36D6-41FB-87AA-77A0FA831971,FK2323MCAM2AA0040,2023-06-21 18:25:14,2023-06-21 18:28:43,RTQ236YM4201,monolith_cassette_ft,10023023
15,LTE_23010_Power,-48,-22,dBm,-33.346375,3.062260,PASS,PASS,0,8CD83D3C-36D6-41FB-87AA-77A0FA831971,FK2323MCAM2AA0040,2023-06-21 18:25:14,2023-06-21 18:28:43,RTQ236YM4201,monolith_cassette_ft,10023023
16,LTE_23010_Frequency,0.6985,0.6995,GHz,0.699050,3.031427,PASS,PASS,0,8CD83D3C-36D6-41FB-87AA-77A0FA831971,FK2323MCAM2AA0040,2023-06-21 18:25:14,2023-06-21 18:28:43,RTQ236YM4201,monolith_cassette_ft,10023023
17,LTE_23179_Power,-32,-12,dBm,-26.580055,3.032674,PASS,PASS,0,8CD83D3C-36D6-41FB-87AA-77A0FA831971,FK2323MCAM2AA0040,2023-06-21 18:25:14,2023-06-21 18:28:43,RTQ236YM4201,monolith_cassette_ft,10023023
18,LTE_23179_Frequency,0.7155,0.7165,GHz,0.716000,3.066845,PASS,PASS,0,8CD83D3C-36D6-41FB-87AA-77A0FA831971,FK2323MCAM2AA0040,2023-06-21 18:25:14,2023-06-21 18:28:43,RTQ236YM4201,monolith_cassette_ft,10023023
19,factory_mode_off,PASS,PASS,,PASS,3.000096,PASS,PASS,0,8CD83D3C-36D6-41FB-87AA-77A0FA831971,FK2323MCAM2AA0040,2023-06-21 18:25:14,2023-06-21 18:28:43,RTQ236YM4201,monolith_cassette_ft,10023023
20,modem_enable_status,PASS,PASS,,PASS,0.894499,PASS,PASS,0,8CD83D3C-36D6-41FB-87AA-77A0FA831971,FK2323MCAM2AA0040,2023-06-21 18:25:14,2023-06-21 18:28:43,RTQ236YM4201,monolith_cassette_ft,10023023
21,NFC_IN_Status,PASS,PASS,,PASS,0.113228,PASS,PASS,0,8CD83D3C-36D6-41FB-87AA-77A0FA831971,FK2323MCAM2AA0040,2023-06-21 18:25:14,2023-06-21 18:28:43,RTQ236YM4201,monolith_cassette_ft,10023023
22,Triangle_NFC_Run_Test,PASS,PASS,,PASS,1.557106,PASS,PASS,0,8CD83D3C-36D6-41FB-87AA-77A0FA831971,FK2323MCAM2AA0040,2023-06-21 18:25:14,2023-06-21 18:28:43,RTQ236YM4201,monolith_cassette_ft,10023023
23,NFC_Detect_Measurement,PASS,PASS,,PASS,1.094362,PASS,PASS,0,8CD83D3C-36D6-41FB-87AA-77A0FA831971,FK2323MCAM2AA0040,2023-06-21 18:25:14,2023-06-21 18:28:43,RTQ236YM4201,monolith_cassette_ft,10023023
