record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.016042,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.214283,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.891471,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.923470,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.091362,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.581,0.000000,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.098358,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,25.000,1.119366,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,90.900000,0.695726,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,2.999654,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,18.043678,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-19.301550,3.068774,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.067046,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
15,LTE_23010_Power,-48,-22,dBm,-36.196846,3.058975,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
16,LTE_23010_Frequency,0.6985,0.6995,GHz,0.699100,3.065815,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
17,LTE_23179 Power,-32,-12,dBm,-27.308571,3.094462,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
18,LTE_23179 Frequency,0.7155,0.7165,GHz,0.716000,3.064567,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
19,factory_mode_off,PASS,PASS,,PASS,3.000556,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
20,modem_enable_status,PASS,PASS,,PASS,0.876511,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
21,NFC_IN_Status,PASS,PASS,,PASS,0.111797,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
22,Triangle_NFC_Run_Test,PASS,PASS,,PASS,1.088402,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
23,NFC_Detect_Measurement,PASS,PASS,,PASS,1.089372,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
24,Set_modem_on,PASS,PASS,,PASS,1.090364,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
25,Check_network_connected,PASS,PASS,,PASS,1.084361,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
26,IMEI,1.00E+14,1.00E+15,,869965065817615,0.879503,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
27,ICCID,1.00E+19,1.00E+20,,89430301722235533088,0.884512,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
28,opmode_clear_forced_state,PASS,PASS,,PASS,1.083386,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
29,Enter_Shipmode,PASS,PASS,,PASS,1.097360,PASS,PASS,0,716C5C54-F2F9-40B6-B85A-A1C5BA1406E8,FK2323MCAM2AA0167,2023-06-16 10:27:27,2023-06-16 10:31:08,STQ236YM4103,monolith_cassette_ft,10023023
