record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.003000,PASS,PASS,0,6073F9D1-ADA1-4FC5-96DD-0FD4110815E1,FK2323MCAM2AA0056,2023-06-10 19:17:45,2023-06-10 19:20:40,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.220265,PASS,PASS,0,6073F9D1-ADA1-4FC5-96DD-0FD4110815E1,FK2323MCAM2AA0056,2023-06-10 19:17:45,2023-06-10 19:20:40,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.898487,PASS,PASS,0,6073F9D1-ADA1-4FC5-96DD-0FD4110815E1,FK2323MCAM2AA0056,2023-06-10 19:17:45,2023-06-10 19:20:40,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.943447,PASS,PASS,0,6073F9D1-ADA1-4FC5-96DD-0FD4110815E1,FK2323MCAM2AA0056,2023-06-10 19:17:45,2023-06-10 19:20:40,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.079384,PASS,PASS,0,6073F9D1-ADA1-4FC5-96DD-0FD4110815E1,FK2323MCAM2AA0056,2023-06-10 19:17:45,2023-06-10 19:20:40,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.541,0.000000,PASS,PASS,0,6073F9D1-ADA1-4FC5-96DD-0FD4110815E1,FK2323MCAM2AA0056,2023-06-10 19:17:45,2023-06-10 19:20:40,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,6073F9D1-ADA1-4FC5-96DD-0FD4110815E1,FK2323MCAM2AA0056,2023-06-10 19:17:45,2023-06-10 19:20:40,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.090357,PASS,PASS,0,6073F9D1-ADA1-4FC5-96DD-0FD4110815E1,FK2323MCAM2AA0056,2023-06-10 19:17:45,2023-06-10 19:20:40,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,28.000,1.113398,PASS,PASS,0,6073F9D1-ADA1-4FC5-96DD-0FD4110815E1,FK2323MCAM2AA0056,2023-06-10 19:17:45,2023-06-10 19:20:40,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,91.800000,0.702046,PASS,PASS,0,6073F9D1-ADA1-4FC5-96DD-0FD4110815E1,FK2323MCAM2AA0056,2023-06-10 19:17:45,2023-06-10 19:20:40,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000042,PASS,PASS,0,6073F9D1-ADA1-4FC5-96DD-0FD4110815E1,FK2323MCAM2AA0056,2023-06-10 19:17:45,2023-06-10 19:20:40,STQ236YM4103,monolith_cassette_ft,10023023
