record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.031120,PASS,PASS,0,E772DCC1-467C-4257-8DB0-C5DBC033DE00,FK2350MCAM3CC0002,2023-12-25 15:23:56,2023-12-25 15:26:03,1QAZ,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.268232,PASS,PASS,0,E772DCC1-467C-4257-8DB0-C5DBC033DE00,FK2350MCAM3CC0002,2023-12-25 15:23:56,2023-12-25 15:26:03,1QAZ,monolith_cassette_ft,10023023
3,opmode_get_state,PASS,PASS,,PASS,1.156286,PASS,PASS,0,E772DCC1-467C-4257-8DB0-C5DBC033DE00,FK2350MCAM3CC0002,2023-12-25 15:23:56,2023-12-25 15:26:03,1QAZ,monolith_cassette_ft,10023023
4,FW_Version,2023.34.102,2023.34.102,,2023.34.102,0.943459,PASS,PASS,0,E772DCC1-467C-4257-8DB0-C5DBC033DE00,FK2350MCAM3CC0002,2023-12-25 15:23:56,2023-12-25 15:26:03,1QAZ,monolith_cassette_ft,10023023
5,HW_Version,Solar,Solar,,Solar,1.007425,PASS,PASS,0,E772DCC1-467C-4257-8DB0-C5DBC033DE00,FK2350MCAM3CC0002,2023-12-25 15:23:56,2023-12-25 15:26:03,1QAZ,monolith_cassette_ft,10023023
6,BQ_charger_ON,PASS,PASS,,PASS,1.160338,PASS,PASS,0,E772DCC1-467C-4257-8DB0-C5DBC033DE00,FK2350MCAM3CC0002,2023-12-25 15:23:56,2023-12-25 15:26:03,1QAZ,monolith_cassette_ft,10023023
7,TST_Battery2_V,3,4.3,V,4.083,0.000000,PASS,PASS,0,E772DCC1-467C-4257-8DB0-C5DBC033DE00,FK2350MCAM3CC0002,2023-12-25 15:23:56,2023-12-25 15:26:03,1QAZ,monolith_cassette_ft,10023023
8,TST_Battery2_C,-10000,200000,uA,000006.0,0.000000,PASS,PASS,0,E772DCC1-467C-4257-8DB0-C5DBC033DE00,FK2350MCAM3CC0002,2023-12-25 15:23:56,2023-12-25 15:26:03,1QAZ,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,40,C,20.000,1.220302,PASS,PASS,0,E772DCC1-467C-4257-8DB0-C5DBC033DE00,FK2350MCAM3CC0002,2023-12-25 15:23:56,2023-12-25 15:26:03,1QAZ,monolith_cassette_ft,10023023
10,Speaker_Measurement,80,100,dB,94.500000,0.694675,PASS,PASS,0,E772DCC1-467C-4257-8DB0-C5DBC033DE00,FK2350MCAM3CC0002,2023-12-25 15:23:56,2023-12-25 15:26:03,1QAZ,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.001132,PASS,PASS,0,E772DCC1-467C-4257-8DB0-C5DBC033DE00,FK2350MCAM3CC0002,2023-12-25 15:23:56,2023-12-25 15:26:03,1QAZ,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,11.385124,PASS,PASS,0,E772DCC1-467C-4257-8DB0-C5DBC033DE00,FK2350MCAM3CC0002,2023-12-25 15:23:56,2023-12-25 15:26:03,1QAZ,monolith_cassette_ft,10023023
13,LTE_19199_Power,-35,-6,dBm,-18.660442,3.092648,PASS,PASS,0,E772DCC1-467C-4257-8DB0-C5DBC033DE00,FK2350MCAM3CC0002,2023-12-25 15:23:56,2023-12-25 15:26:03,1QAZ,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,0.000000,PASS,PASS,0,E772DCC1-467C-4257-8DB0-C5DBC033DE00,FK2350MCAM3CC0002,2023-12-25 15:23:56,2023-12-25 15:26:03,1QAZ,monolith_cassette_ft,10023023
15,LTE_23010_Power,-28,-8,dBm,-19.472214,3.041739,PASS,PASS,0,E772DCC1-467C-4257-8DB0-C5DBC033DE00,FK2350MCAM3CC0002,2023-12-25 15:23:56,2023-12-25 15:26:03,1QAZ,monolith_cassette_ft,10023023
16,LTE_23010_Frequency,0.6985,0.6995,GHz,0.699100,0.000000,PASS,PASS,0,E772DCC1-467C-4257-8DB0-C5DBC033DE00,FK2350MCAM3CC0002,2023-12-25 15:23:56,2023-12-25 15:26:03,1QAZ,monolith_cassette_ft,10023023
17,factory_mode_off,PASS,PASS,,PASS,2.999738,PASS,PASS,0,E772DCC1-467C-4257-8DB0-C5DBC033DE00,FK2350MCAM3CC0002,2023-12-25 15:23:56,2023-12-25 15:26:03,1QAZ,monolith_cassette_ft,10023023
18,modem_enable_status,PASS,PASS,,PASS,0.965440,PASS,PASS,0,E772DCC1-467C-4257-8DB0-C5DBC033DE00,FK2350MCAM3CC0002,2023-12-25 15:23:56,2023-12-25 15:26:03,1QAZ,monolith_cassette_ft,10023023
19,NFC_IN_Status,PASS,PASS,,PASS,0.101135,PASS,PASS,0,E772DCC1-467C-4257-8DB0-C5DBC033DE00,FK2350MCAM3CC0002,2023-12-25 15:23:56,2023-12-25 15:26:03,1QAZ,monolith_cassette_ft,10023023
20,Triangle_NFC_Run_Test,PASS,PASS,,PASS,1.165336,PASS,PASS,0,E772DCC1-467C-4257-8DB0-C5DBC033DE00,FK2350MCAM3CC0002,2023-12-25 15:23:56,2023-12-25 15:26:03,1QAZ,monolith_cassette_ft,10023023
21,NFC_Detect_Measurement,PASS,PASS,,PASS,1.166334,PASS,PASS,0,E772DCC1-467C-4257-8DB0-C5DBC033DE00,FK2350MCAM3CC0002,2023-12-25 15:23:56,2023-12-25 15:26:03,1QAZ,monolith_cassette_ft,10023023
22,IMEI,1.00E+14,1.00E+15,,869965069806580,0.960454,PASS,PASS,0,E772DCC1-467C-4257-8DB0-C5DBC033DE00,FK2350MCAM3CC0002,2023-12-25 15:23:56,2023-12-25 15:26:03,1QAZ,monolith_cassette_ft,10023023
23,ICCID,1.00E+19,1.00E+20,,89430301722336359003,0.975442,PASS,PASS,0,E772DCC1-467C-4257-8DB0-C5DBC033DE00,FK2350MCAM3CC0002,2023-12-25 15:23:56,2023-12-25 15:26:03,1QAZ,monolith_cassette_ft,10023023
24,opmode_clear_forced_state,PASS,PASS,,PASS,1.162336,PASS,PASS,0,E772DCC1-467C-4257-8DB0-C5DBC033DE00,FK2350MCAM3CC0002,2023-12-25 15:23:56,2023-12-25 15:26:03,1QAZ,monolith_cassette_ft,10023023
25,Enter_Shipmode,PASS,PASS,,PASS,1.199316,PASS,PASS,0,E772DCC1-467C-4257-8DB0-C5DBC033DE00,FK2350MCAM3CC0002,2023-12-25 15:23:56,2023-12-25 15:26:03,1QAZ,monolith_cassette_ft,10023023
