record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.015020,PASS,PASS,0,0F98B834-F391-4DAB-B052-D4C915B38385,FK2336MMBP3AA0263,2023-09-15 09:22:34,2023-09-15 09:25:45,STT239MM01,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.23,PASS,PASS,0,0F98B834-F391-4DAB-B052-D4C915B38385,FK2336MMBP3AA0263,2023-09-15 09:22:34,2023-09-15 09:25:45,STT239MM01,monolith_main_bft,10023100
3,Flash_STLink,PASS,PASS,,PASS,9.26,PASS,PASS,0,0F98B834-F391-4DAB-B052-D4C915B38385,FK2336MMBP3AA0263,2023-09-15 09:22:34,2023-09-15 09:25:45,STT239MM01,monolith_main_bft,10023100
4,FW_Version,2023.34.102,2023.34.102,,2023.34.102,2.694028,PASS,PASS,0,0F98B834-F391-4DAB-B052-D4C915B38385,FK2336MMBP3AA0263,2023-09-15 09:22:34,2023-09-15 09:25:45,STT239MM01,monolith_main_bft,10023100
5,Hw_Version,Solar,Solar,,Solar,2.727056,PASS,PASS,0,0F98B834-F391-4DAB-B052-D4C915B38385,FK2336MMBP3AA0263,2023-09-15 09:22:34,2023-09-15 09:25:45,STT239MM01,monolith_main_bft,10023100
6,Vbat,PASS,PASS,,PASS,2.835815,PASS,PASS,0,0F98B834-F391-4DAB-B052-D4C915B38385,FK2336MMBP3AA0263,2023-09-15 09:22:34,2023-09-15 09:25:45,STT239MM01,monolith_main_bft,10023100
7,lte_modem_status,PASS,PASS,,PASS,3.064467,PASS,PASS,0,0F98B834-F391-4DAB-B052-D4C915B38385,FK2336MMBP3AA0263,2023-09-15 09:22:34,2023-09-15 09:25:45,STT239MM01,monolith_main_bft,10023100
8,temp_by_mcu_sensor_Vbatt,10,40,C,29.000,2.816342,PASS,PASS,0,0F98B834-F391-4DAB-B052-D4C915B38385,FK2336MMBP3AA0263,2023-09-15 09:22:34,2023-09-15 09:25:45,STT239MM01,monolith_main_bft,10023100
9,Power_Rail_Enable,PASS,PASS,,PASS,2.783881,PASS,PASS,0,0F98B834-F391-4DAB-B052-D4C915B38385,FK2336MMBP3AA0263,2023-09-15 09:22:34,2023-09-15 09:25:45,STT239MM01,monolith_main_bft,10023100
10,Voltage_PP4V2_SYS,3.6,3.8,V,3.683400,0.248641,PASS,PASS,0,0F98B834-F391-4DAB-B052-D4C915B38385,FK2336MMBP3AA0263,2023-09-15 09:22:34,2023-09-15 09:25:45,STT239MM01,monolith_main_bft,10023100
11,Voltage_PP1V8_LDO,1.75,1.85,V,1.800640,0.245242,PASS,PASS,0,0F98B834-F391-4DAB-B052-D4C915B38385,FK2336MMBP3AA0263,2023-09-15 09:22:34,2023-09-15 09:25:45,STT239MM01,monolith_main_bft,10023100
12,Voltage_PP5V0,4.85,5.15,V,4.998760,0.256315,PASS,PASS,0,0F98B834-F391-4DAB-B052-D4C915B38385,FK2336MMBP3AA0263,2023-09-15 09:22:34,2023-09-15 09:25:45,STT239MM01,monolith_main_bft,10023100
13,Voltage_DUT_PP12V0_BOOST,11.493,12.395,V,11.993809,0.245754,PASS,PASS,0,0F98B834-F391-4DAB-B052-D4C915B38385,FK2336MMBP3AA0263,2023-09-15 09:22:34,2023-09-15 09:25:45,STT239MM01,monolith_main_bft,10023100
