record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Test_voltage,7.35,8.33,V,7.720339,0.485716,PASS,PASS,0,11B832F0-8E89-4EED-97A3-8424C5EFBDBA,PF2334MDOL3AA0509,2023-10-19 14:08:05,2023-10-19 14:08:25,STQ23AYML301,monolith_solar_panel_left_ft,10023215
2,Test_first_temp_1,20,30,C,25.3,0.000000,PASS,PASS,0,11B832F0-8E89-4EED-97A3-8424C5EFBDBA,PF2334MDOL3AA0509,2023-10-19 14:08:05,2023-10-19 14:08:25,STQ23AYML301,monolith_solar_panel_left_ft,10023215
3,Test_first_temp_2,20,30,C,25.6,0.000000,PASS,PASS,0,11B832F0-8E89-4EED-97A3-8424C5EFBDBA,PF2334MDOL3AA0509,2023-10-19 14:08:05,2023-10-19 14:08:25,STQ23AYML301,monolith_solar_panel_left_ft,10023215
4,Test_Current,0.098,0.147,A,0.108301,4.234479,PASS,PASS,0,11B832F0-8E89-4EED-97A3-8424C5EFBDBA,PF2334MDOL3AA0509,2023-10-19 14:08:05,2023-10-19 14:08:25,STQ23AYML301,monolith_solar_panel_left_ft,10023215
5,Test_Count_Power,0.784,1.176,W,0.836119,0.000000,PASS,PASS,0,11B832F0-8E89-4EED-97A3-8424C5EFBDBA,PF2334MDOL3AA0509,2023-10-19 14:08:05,2023-10-19 14:08:25,STQ23AYML301,monolith_solar_panel_left_ft,10023215
6,Test_second_temp_1,20,30,C,25.3,0.000000,PASS,PASS,0,11B832F0-8E89-4EED-97A3-8424C5EFBDBA,PF2334MDOL3AA0509,2023-10-19 14:08:05,2023-10-19 14:08:25,STQ23AYML301,monolith_solar_panel_left_ft,10023215
7,Test_second_temp_2,20,30,C,25.7,0.000000,PASS,PASS,0,11B832F0-8E89-4EED-97A3-8424C5EFBDBA,PF2334MDOL3AA0509,2023-10-19 14:08:05,2023-10-19 14:08:25,STQ23AYML301,monolith_solar_panel_left_ft,10023215
8,Read_MES_Flat_TEMP1,20,30,C,0,0.000000,PASS,PASS,0,11B832F0-8E89-4EED-97A3-8424C5EFBDBA,PF2334MDOL3AA0509,2023-10-19 14:08:05,2023-10-19 14:08:25,STQ23AYML301,monolith_solar_panel_left_ft,10023215
9,Read_MES_Flat_TEMP2,20,30,C,0,0.000000,PASS,PASS,0,11B832F0-8E89-4EED-97A3-8424C5EFBDBA,PF2334MDOL3AA0509,2023-10-19 14:08:05,2023-10-19 14:08:25,STQ23AYML301,monolith_solar_panel_left_ft,10023215
10,Read_MES_Flat_Voltage,7.35,8.82,V,0.000000,0.000000,PASS,PASS,0,11B832F0-8E89-4EED-97A3-8424C5EFBDBA,PF2334MDOL3AA0509,2023-10-19 14:08:05,2023-10-19 14:08:25,STQ23AYML301,monolith_solar_panel_left_ft,10023215
11,Read_MES_Flat_Current,0.1078,0.147,A,0.000000,0.000000,PASS,PASS,0,11B832F0-8E89-4EED-97A3-8424C5EFBDBA,PF2334MDOL3AA0509,2023-10-19 14:08:05,2023-10-19 14:08:25,STQ23AYML301,monolith_solar_panel_left_ft,10023215
12,Power_difference,0,0.06,W,0,0.000000,PASS,PASS,0,11B832F0-8E89-4EED-97A3-8424C5EFBDBA,PF2334MDOL3AA0509,2023-10-19 14:08:05,2023-10-19 14:08:25,STQ23AYML301,monolith_solar_panel_left_ft,10023215
13,Power_percentage_drop,0,0.06,,0,0.000000,PASS,PASS,0,11B832F0-8E89-4EED-97A3-8424C5EFBDBA,PF2334MDOL3AA0509,2023-10-19 14:08:05,2023-10-19 14:08:25,STQ23AYML301,monolith_solar_panel_left_ft,10023215
