record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.718,9.228302,PASS,PASS,0,b92f6436-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0014,2023-06-07 16:27:39,2023-06-07 16:30:46,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,29.6285,0.0,PASS,PASS,0,b92f6436-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0014,2023-06-07 16:27:39,2023-06-07 16:30:46,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.26765,PASS,PASS,0,b92f6436-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0014,2023-06-07 16:27:39,2023-06-07 16:30:46,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.099401,PASS,PASS,0,b92f6436-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0014,2023-06-07 16:27:39,2023-06-07 16:30:46,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.029762,PASS,PASS,0,b92f6436-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0014,2023-06-07 16:27:39,2023-06-07 16:30:46,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.109695,PASS,PASS,0,b92f6436-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0014,2023-06-07 16:27:39,2023-06-07 16:30:46,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.935877,PASS,PASS,0,b92f6436-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0014,2023-06-07 16:27:39,2023-06-07 16:30:46,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.099837,PASS,PASS,0,b92f6436-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0014,2023-06-07 16:27:39,2023-06-07 16:30:46,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.875379,PASS,PASS,0,b92f6436-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0014,2023-06-07 16:27:39,2023-06-07 16:30:46,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.109995,PASS,PASS,0,b92f6436-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0014,2023-06-07 16:27:39,2023-06-07 16:30:46,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,2.486341,PASS,PASS,0,b92f6436-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0014,2023-06-07 16:27:39,2023-06-07 16:30:46,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.128934,PASS,PASS,0,b92f6436-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0014,2023-06-07 16:27:39,2023-06-07 16:30:46,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.637599,PASS,PASS,0,b92f6436-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0014,2023-06-07 16:27:39,2023-06-07 16:30:46,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.227244,PASS,PASS,0,b92f6436-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0014,2023-06-07 16:27:39,2023-06-07 16:30:46,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.106674,PASS,PASS,0,b92f6436-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0014,2023-06-07 16:27:39,2023-06-07 16:30:46,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.233076,PASS,PASS,0,b92f6436-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0014,2023-06-07 16:27:39,2023-06-07 16:30:46,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.151857,PASS,PASS,0,b92f6436-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0014,2023-06-07 16:27:39,2023-06-07 16:30:46,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.11364,PASS,PASS,0,b92f6436-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0014,2023-06-07 16:27:39,2023-06-07 16:30:46,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,226.186333,4.286515,PASS,PASS,0,b92f6436-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0014,2023-06-07 16:27:39,2023-06-07 16:30:46,STQ236YM3101,monolith_receiver_ft,10023006
