record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.742,9.152499,PASS,PASS,0,b88240e4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0163,2023-06-03 17:38:04,2023-06-03 17:41:23,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,30.9505,0.0,PASS,PASS,0,b88240e4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0163,2023-06-03 17:38:04,2023-06-03 17:41:23,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.69975,PASS,PASS,0,b88240e4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0163,2023-06-03 17:38:04,2023-06-03 17:41:23,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.097047,PASS,PASS,0,b88240e4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0163,2023-06-03 17:38:04,2023-06-03 17:41:23,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,2.584647,PASS,PASS,0,b88240e4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0163,2023-06-03 17:38:04,2023-06-03 17:41:23,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.096354,PASS,PASS,0,b88240e4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0163,2023-06-03 17:38:04,2023-06-03 17:41:23,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.86905,PASS,PASS,0,b88240e4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0163,2023-06-03 17:38:04,2023-06-03 17:41:23,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.096374,PASS,PASS,0,b88240e4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0163,2023-06-03 17:38:04,2023-06-03 17:41:23,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.716383,PASS,PASS,0,b88240e4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0163,2023-06-03 17:38:04,2023-06-03 17:41:23,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.092372,PASS,PASS,0,b88240e4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0163,2023-06-03 17:38:04,2023-06-03 17:41:23,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,3.841348,PASS,PASS,0,b88240e4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0163,2023-06-03 17:38:04,2023-06-03 17:41:23,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.096381,PASS,PASS,0,b88240e4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0163,2023-06-03 17:38:04,2023-06-03 17:41:23,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,3.403646,PASS,PASS,0,b88240e4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0163,2023-06-03 17:38:04,2023-06-03 17:41:23,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.217304,PASS,PASS,0,b88240e4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0163,2023-06-03 17:38:04,2023-06-03 17:41:23,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,13,1.138334,PASS,PASS,0,b88240e4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0163,2023-06-03 17:38:04,2023-06-03 17:41:23,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.217288,PASS,PASS,0,b88240e4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0163,2023-06-03 17:38:04,2023-06-03 17:41:23,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,27,1.141333,PASS,PASS,0,b88240e4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0163,2023-06-03 17:38:04,2023-06-03 17:41:23,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.085382,PASS,PASS,0,b88240e4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0163,2023-06-03 17:38:04,2023-06-03 17:41:23,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,320.750401,4.333591,PASS,PASS,0,b88240e4-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0163,2023-06-03 17:38:04,2023-06-03 17:41:23,STQ236YM3101,monolith_receiver_ft,10023006
