record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.712,9.11514,PASS,PASS,0,b8ea6246-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00D6,2023-06-06 11:15:25,2023-06-06 11:18:54,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,31.4495,0.0,PASS,PASS,0,b8ea6246-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00D6,2023-06-06 11:15:25,2023-06-06 11:18:54,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.250834,PASS,PASS,0,b8ea6246-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00D6,2023-06-06 11:15:25,2023-06-06 11:18:54,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.093029,PASS,PASS,0,b8ea6246-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00D6,2023-06-06 11:15:25,2023-06-06 11:18:54,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,2.689075,PASS,PASS,0,b8ea6246-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00D6,2023-06-06 11:15:25,2023-06-06 11:18:54,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.084471,PASS,PASS,0,b8ea6246-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00D6,2023-06-06 11:15:25,2023-06-06 11:18:54,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.736205,PASS,PASS,0,b8ea6246-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00D6,2023-06-06 11:15:25,2023-06-06 11:18:54,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.087184,PASS,PASS,0,b8ea6246-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00D6,2023-06-06 11:15:25,2023-06-06 11:18:54,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.692165,PASS,PASS,0,b8ea6246-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00D6,2023-06-06 11:15:25,2023-06-06 11:18:54,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.08346,PASS,PASS,0,b8ea6246-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00D6,2023-06-06 11:15:25,2023-06-06 11:18:54,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,2.540709,PASS,PASS,0,b8ea6246-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00D6,2023-06-06 11:15:25,2023-06-06 11:18:54,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.088038,PASS,PASS,0,b8ea6246-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00D6,2023-06-06 11:15:25,2023-06-06 11:18:54,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,2.767398,PASS,PASS,0,b8ea6246-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00D6,2023-06-06 11:15:25,2023-06-06 11:18:54,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.206529,PASS,PASS,0,b8ea6246-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00D6,2023-06-06 11:15:25,2023-06-06 11:18:54,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.08491,PASS,PASS,0,b8ea6246-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00D6,2023-06-06 11:15:25,2023-06-06 11:18:54,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.085706,PASS,PASS,0,b8ea6246-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00D6,2023-06-06 11:15:25,2023-06-06 11:18:54,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.180205,PASS,PASS,0,b8ea6246-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00D6,2023-06-06 11:15:25,2023-06-06 11:18:54,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.085043,PASS,PASS,0,b8ea6246-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00D6,2023-06-06 11:15:25,2023-06-06 11:18:54,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,245.626748,4.285468,PASS,PASS,0,b8ea6246-0717-11ee-be4d-acde48001122,FK2322MRCM2AA00D6,2023-06-06 11:15:25,2023-06-06 11:18:54,STQ236YM3101,monolith_receiver_ft,10023006
